ticket_id,created_at,category,priority,channel,assigned_team,agent,current_stage,status,first_response_hours,waiting_hours,resolution_hours,queue_age_hours,sla_hours,sla_breach,customer_satisfaction
TKT-00001,2025-01-01 00:00:00.000000000,Bug Report,High,Email,Tier 3,T3-Agent-06,Resolved,Resolved,4.69,9.58,77.66,9.58,24,True,2.8
TKT-00002,2025-01-01 00:13:01.959047952,Billing,Critical,Email,Tier 1,T1-Agent-10,Resolved,Resolved,0.8,2.83,22.15,2.83,8,True,4.52
TKT-00003,2025-01-01 00:26:03.918095904,Bug Report,Low,Email,Tier 3,T3-Agent-01,Resolved,Resolved,0.59,0.83,17.21,0.83,72,False,5.0
TKT-00004,2025-01-01 00:39:05.877143857,Integration/API,Medium,Email,Tier 2,T2-Agent-02,Resolved,Resolved,10.7,21.55,47.22,21.55,48,False,3.49
TKT-00005,2025-01-01 00:52:07.836191809,Technical Issue,High,Phone,Tier 2,T2-Agent-07,Waiting for Agent,In Progress,4.2,16.72,77.22,63.62,24,True,2.73
TKT-00006,2025-01-01 01:05:09.795239761,Security,High,Chat,Tier 3,T3-Agent-04,Resolved,Resolved,8.77,29.74,65.52,29.74,24,True,2.9
TKT-00007,2025-01-01 01:18:11.754287714,Bug Report,High,Email,Tier 3,T3-Agent-03,Resolved,Resolved,8.32,93.47,119.45,93.47,24,True,2.02
TKT-00008,2025-01-01 01:31:13.713335666,Bug Report,High,Chat,Tier 3,T3-Agent-04,Resolved,Resolved,1.55,39.47,71.21,39.47,24,True,3.5
TKT-00009,2025-01-01 01:44:15.672383619,Technical Issue,High,Chat,Tier 2,T2-Agent-04,Resolved,Resolved,2.72,12.51,71.01,12.51,24,True,3.18
TKT-00010,2025-01-01 01:57:17.631431571,Billing,Low,Email,Tier 1,T1-Agent-08,Resolved,Resolved,0.58,2.42,9.69,2.42,72,False,4.99
TKT-00011,2025-01-01 02:10:19.590479523,Account & Access,Medium,Email,Tier 1,T1-Agent-03,Resolved,Resolved,1.08,1.99,12.94,1.99,48,False,4.18
TKT-00012,2025-01-01 02:23:21.549527476,Feature Request,High,Chat,Tier 2,T2-Agent-10,Resolved,Resolved,21.48,32.11,75.3,32.11,24,True,2.37
TKT-00013,2025-01-01 02:36:23.508575428,Product Question,Medium,Web Form,Tier 1,T1-Agent-10,Resolved,Resolved,1.49,2.55,8.32,2.55,48,False,4.25
TKT-00014,2025-01-01 02:49:25.467623381,Bug Report,High,Email,Tier 3,T3-Agent-02,Waiting for Agent,In Progress,3.59,31.63,59.27,47.05,24,True,2.91
TKT-00015,2025-01-01 03:02:27.426671333,Billing,Low,Web Form,Tier 1,T1-Agent-11,Resolved,Resolved,1.74,1.7,5.88,1.7,72,False,4.28
TKT-00016,2025-01-01 03:15:29.385719285,Technical Issue,Medium,Chat,Tier 2,T2-Agent-06,Resolved,Resolved,7.36,17.6,49.65,17.6,48,True,3.02
TKT-00017,2025-01-01 03:28:31.344767238,Product Question,Medium,Chat,Tier 1,T1-Agent-05,Resolved,Resolved,1.41,3.16,6.64,3.16,48,False,4.58
